source,author,work,workLabel,edition,placeOfProduction,yearOfPublication,langCode
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb350543884#Expression,L'ingénieux hidalgo Don Quichotte de la Manche Première partie,,Toulouse,1923,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31382185n#Expression,"Nueva colección de piezas en prosa y en versos, sacadas de varios aurores españoles : tales son : Solis, Cervantes, Quevedo, Moratin, Melendez, etc.",,Paris. - Lyon,1837,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213119b#Expression,"L'Ingénieux chevalier Don Quichotte de la Manche, par Michel Cervantès. Traduction nouvelle (par Ch. Furne)",,Paris,1858,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb302131289#Expression,"Les Principales avantures de l'admirable Don Quichotte, représentées en figures par Coypel, Picart le Romain et autres habiles maîtres, avec les explications des 31 planches de cette magnifique collection tirées de l'original espagnol de Miguel de Cervantès",,La Haye ; et Paris,1774,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb37466581x#Expression,Los baños de Argel,,Madrid,1992,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213262r#Expression,"Cervantes' neun Zwischenspiele, uebersetzt von Hermann Kurz",,Hildburghausen,1868,http://id.loc.gov/vocabulary/iso639-2/ger
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb319211887#Expression,Miguel de Cervántes. Le Jaloux d'Estremadure,,"Paris, A. et P. Jarach (Impr. La Ruche)",1949,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb324625473#Expression,Don Quichotte II,,Paris,1955,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb356290658#Expression,Entremeses,,Madrid,1982,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb42178263r#Expression,Tragedia de Numancia,,Zaragoza,2009,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb38498075v#Expression,[Illustrations de L'Ingénieux hildago Don Quichotte de la Manche],,Paris,1869,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb41405864z#Expression,Oeuvres,,Paris,2008,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213220t#Expression,Novelas exemplares de Miguel de Cervántes Saavedra... Nueva impresion...,,Paris,1835,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31570715s#Expression,L'Ingénieux hidalgo don Quichotte de la Manche... Illustrations de Dubout,,Paris,1938,http://id.loc.gov/vocabulary/iso639-2/fre
