source,author,authorLabel,work,workLabel,edition,placeOfProduction,yearOfPublication,langCode
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000530214,Barcelona,1996,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001669903,[Barcelona],[2000],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000526825,Madrid,D.L. 1996,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001657096,[Barcelona],[2000],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002106766,[Salamanca],[2005],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002103670,[Lugo],[2005],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002119725,Madrid,[2006],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002094679,Ourense,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002111220,Valencia,[2005],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002104770,[Barcelona],2005,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002092189,Jaén,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002107484,Mijas,[2005],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002103864,[Madrid],[2005],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002112754,Madrid,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002101713,Ourense,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002104784,[Gijón],[2005],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5599330,"[Colombo, Sri Lanka]",1999,http://id.loc.gov/vocabulary/languages/sin
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5610550,Madrid,2015,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5006217,Madrid,D.L. 2010,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5677280,Méjico,1904,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002222950,[Melilla,2005],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5217148,[Madrid],D.L. 2011,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002220596,Pozuelo de Alarcón (Madrid),2007,http://id.loc.gov/vocabulary/languages/spa
